,AUS,BRA,CA,GER,IND,ISR,JPN,MEX,NY,RUS,SA,SGP,UK
2020-06,584,1017,922,1502,1150,35,410,439,68,325,405,141,6734
2020-07,6496,1102,1539,119,698,50,2427,363,132,138,1053,119,2841
2020-08,4711,974,881,375,1097,12,3758,337,295,496,351,53,6907
2020-09,840,980,1121,525,1025,4,1269,196,419,774,521,33,15700
2020-10,249,887,1945,787,754,1,1244,183,922,740,629,60,30700
2020-11,121,1463,3635,993,836,NA,2965,400,970,686,676,51,35329
2020-12,305,1431,18287,1692,2716,1158,4415,678,3519,482,1201,97,37137
2021-01,206,2662,22054,6704,2044,2739,7043,770,6056,286,1172,146,66533
2021-02,125,3486,20898,18021,2715,2638,2484,1818,6489,535,419,97,59493
2021-03,276,6377,16448,28158,6575,1686,4858,2715,8342,435,535,173,72051
2021-04,347,9063,12941,28025,12400,1223,13619,2605,7384,627,513,399,37662
2021-05,204,9530,8842,26954,10166,302,17107,3384,2737,671,1177,599,41910
2021-06,444,12579,8335,8218,7445,1493,9132,4496,734,1307,2991,379,89637
2021-07,3299,11954,52966,8960,6790,1417,24050,5203,2529,1027,3620,1301,125670
2021-08,6042,13777,58226,29435,7374,3144,57299,5407,6962,1251,2763,1772,149023
